Item	Name	InUse	Type	primary_key	NotNull	Unique	Default	FK_Table	FK_Column	onCopy	Comment
	localId	TRUE	uuid	TRUE	TRUE	TRUE	gen_random_uuid()			TRUE	ID локального кэша карточки физического лица.
	entityId	TRUE	uuid	FALSE	FALSE	FALSE				FALSE	Глобальный ID карточки физического лица
	lastName	TRUE	varchar(80)	FALSE	TRUE	FALSE				TRUE	Фамилия / Required
	firstName	TRUE	varchar(80)	FALSE	FALSE	FALSE				TRUE	Имя / Required
	secondName	TRUE	varchar(80)	FALSE	FALSE	FALSE				TRUE	Отчество
	gender	TRUE	varchar(8)	FALSE	FALSE	FALSE	'муж.'			TRUE	Пол [муж., жен.]
	birthDate	TRUE	date	FALSE	FALSE	FALSE				TRUE	Дата рождения
	metaSourceName	TRUE	varchar(50)	FALSE	FALSE	FALSE				TRUE	Meta - Наименование внешнего источника
	metaSourceTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения во внешнем источнике
	metaSourceRowLoadedAt	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Дата/время первичной загрузки данных из внешнего источника. Формат YYYY-MM-DD (ISO 8601)
	metaSourceRowVersion	TRUE	bigint	FALSE	FALSE	FALSE				TRUE	Meta - Номер версии во внешнем источнике
	metaLocalTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения в данной таблице
	metaRowAllowed	TRUE	bool	FALSE	TRUE	FALSE				TRUE	Meta - Признак активности данных в текущей строке (TRUE - строка активна)
	metaRowValidTo	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Предельный срок валидности данных в текущей строке. Формат YYYY-MM-DDTHH:MM:SS (ISO 8601). NULL - срок валидности не установлен. Данные валидны без ограничения по сроку.
	updatedAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата последнего обновления. Формат YYYY-MM-DD (ISO 8601)
	createdAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата создания записи в локальном справочнике (кеше). Формат YYYY-MM-DDTHH:MM:SS (ISO 8601).
--- end of table		FALSE		FALSE	FALSE	FALSE				TRUE	
Table	ContractorPersonnel	TRUE		FALSE	FALSE	FALSE				FALSE	Данные физ. лица - резидент РФ ( м.б. сотрудником / представителем юр.лица произвольного типа)
	id	TRUE	serial	FALSE	TRUE	TRUE	 			FALSE	Локальный порядковый Id. PK / Индексом не является. Не может использоваться в качестве пары в PK/FK Relation
	localId	TRUE	uuid	TRUE	TRUE	TRUE	gen_random_uuid()			TRUE	ID локального кэша карточки физического лица.
	contractorId	TRUE	uuid	FALSE	FALSE	FALSE		ContractorEntity	localId	TRUE	Ссылка на компанию, в которой работает сотрудник
	personnelId	TRUE	uuid	FALSE	FALSE	FALSE		PersonalityEntity	localId	TRUE	Ссылка на справочник физических лиц
	contacts	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	TODO: раскрыть в модели схему указания контактов, в т.с. с выделением наиболее актуального способа связи
	hireDate	TRUE	date	FALSE	FALSE	FALSE				TRUE	Дата появления (найма, приема на работу). Формат YYYY-MM-DD (ISO 8601). Если указано, использование данные такой записи в операциях с датой ДО указанной, запрещено
	fireDate	TRUE	date	FALSE	FALSE	FALSE				TRUE	Дата увольнения. Формат YYYY-MM-DD (ISO 8601). Если указано, использование данные такой записи в операциях с датой ПОСЛЕ указанной, запрещено
	validTo	TRUE	date	FALSE	FALSE	FALSE				TRUE	Дата прекращения полномочий (из внешнего источника). Формат YYYY-MM-DD (ISO 8601). NULL - срок валидности не установлен. Полномочия валидны с учетом значения hireDate.
	positions	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Список должностей / полномочий. Допускается пустой список. В тестовой реализации допускается только один элемент.
	canSign	TRUE	text[]	FALSE	FALSE	FALSE				TRUE	Массив с перечнем документов, которые может подписывать данный сотрудник
	items	FALSE		FALSE	FALSE	FALSE				TRUE	Элементы список должностей / ролей. Допускается пустой список. В тестовой реализации не используется.
	positionName	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Наименование позиции / должности
	confirmationDocument	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Наименование и другие реквизиты подтверждающего документа - в свободной форме
	expirationDate	TRUE	date	FALSE	FALSE	FALSE				TRUE	Срок действия подтверждающего документа.  Формат YYYY-MM-DD (ISO 8601)
--- end of table		FALSE		FALSE	FALSE	FALSE				TRUE	
Table	ldProjectTypes	TRUE		FALSE	FALSE	FALSE				FALSE	Локальный справочник - типы проектов
	id	TRUE	serial	FALSE	TRUE	TRUE	 			FALSE	Локальный порядковый Id. PK / Индексом не является. Не может использоваться в качестве пары в PK/FK Relation
	localId	TRUE	uuid	TRUE	TRUE	TRUE	gen_random_uuid()			TRUE	ID локальной записи справочника.
